|||Columns||||||||||||
Rows|||Turkey||||||||||||
|||||||||||||||
|||01-January|02-February|03-March|04-April|05-May|06-June|07-July|08-August|09-September|10-October|11-November|12-December|
||2019|273.06|275.93|277.22|279.24|278.97|281.31|282.11|283.44|284.8|286.04|286.89|288.43|
||2020|304.99|310.31|313.94|314.59|315.85|321.11|324.06|327.04|330.86|334.1|336.08|337.81|
||2021|356.27|363.42|368.15|370.87|372.4|375.36|377.29|378.8|381.08|382.76|385.61|397.52|
||2022|457.2|470.26|477.64|482.6|491.17|501.57|522.16|541.96|553.41|564.3|571.82|577.8|
||2023|679.12|697.21|706.14|713.34|724.42|736.67|831.5|877.77|907.03|933.24|951.09|962.33|
||2024|1152.18|1201.77|1219.23|1234.65|1257.32|1275.16|1320.38|1344.26|1370.75|1387.07|1398.85|1406.77|
||2025|1950.22|1780.8|1788.78|1800.11|1806.69|1818.73|1860.06|1878.96|1885.83|1897.85|1906.05||
|063. (Hospital Services)|2005|121.88|130.36|138.55|138.6|138.67|138.79|139.51|140.6|141.11|141.77|142.17|142.19|
||2006|143.6|145.42|146.49|147.56|151.82|152.96|154.46|154.7|155.03|155.34|155.46|155.12|
||2007|156.63|157.31|158.43|159.0|159.15|159.32|159.38|159.48|159.66|159.67|159.73|160.08|
||2008|160.63|160.93|161.26|161.58|161.63|161.75|161.59|161.72|161.77|161.72|161.66|156.42|
||2009|156.63|156.93|156.97|157.17|157.25|157.37|157.45|157.45|157.54|157.85|157.88|157.93|
||2010|158.36|158.45|158.63|172.89|172.91|173.01|173.08|173.14|173.16|173.21|173.35|173.54|
||2011|174.39|174.65|175.07|175.1|175.19|175.31|175.37|175.49|175.51|175.55|175.87|175.8|
||2012|176.42|176.78|177.23|177.56|177.67|178.03|178.03|178.11|178.15|178.22|178.3|178.48|
||2013|178.43|179.59|180.42|180.6|181.08|181.9|182.15|182.34|182.84|183.45|190.08|197.76|
||2014|207.4|210.07|212.4|219.35|222.26|223.04|224.89|225.44|226.98|232.38|234.25|234.88|
||2015|241.38|244.66|249.56|249.89|251.28|251.72|252.36|253.75|254.91|257.29|259.76|260.07|
||2016|268.66|273.1|273.38|274.21|275.57|275.92|276.3|278.38|280.88|281.95|282.49|283.67|
||2017|297.98|299.95|303.38|304.11|304.21|305.84|306.47|307.06|310.7|313.64|313.85|315.49|
||2018|329.26|337.92|339.46|341.89|342.91|345.02|357.21|358.79|367.2|373.93|376.04|379.76|
||2019|405.57|408.21|410.01|412.99|413.21|415.75|417.21|419.82|425.97|429.49|430.03|432.68|
||2020|459.85|466.39|476.94|480.45|481.22|484.68|490.27|500.29|505.04|511.98|517.83|523.49|
||2021|561.78|572.91|579.01|581.25|582.84|592.18|597.85|601.15|607.06|614.49|624.8|650.18|
||2022|737.18|772.96|797.05|825.54|846.76|874.59|893.36|928.12|967.89|998.37|1011.47|1033.18|
||2023|1316.93|1348.35|1346.86|1391.29|1450.92|1471.41|1707.08|1833.82|1952.62|2036.7|2074.43|2113.56|
||2024|2592.58|2694.9|2736.49|2746.52|2851.81|2959.39|3200.26|3282.27|3332.12|3354.24|3380.86|3416.21|
||2025|3964.34|4052.14|4077.54|4145.92|4166.93|4191.53|4460.88|4518.38|4568.14|4562.5|4584.12||
|07. (Transport)|2005|117.99|118.58|119.42|121.91|122.12|122.99|124.14|125.9|128.12|128.64|127.58|127.35|
||2006|129.29|129.49|129.67|131.49|133.5|138.53|142.5|142.56|140.05|140.16|139.77|140.27|
||2007|140.23|141.17|142.88|144.15|144.31|144.07|144.03|143.89|144.77|144.17|147.77|147.65|
||2008|149.62|150.43|152.21|155.83|158.27|160.84|160.33|157.84|158.11|157.17|155.04|151.15|
||2009|152.46|154.59|151.52|148.94|150.12|154.35|155.25|157.84|158.15|161.48|163.5|163.08|
||2010|168.84|169.55|170.79|170.87|170.82|170.11|170.95|170.66|170.86|171.52|172.3|174.14|
||2011|176.65|179.78|182.6|184.5|185.67|186.27|187.72|191.28|194.95|196.14|195.07|195.42|
||2012|199.44|200.1|202.4|202.94|200.18|197.4|198.13|201.29|204.61|208.82|206.79|206.24|
||2013|207.28|210.65|210.55|209.22|209.5|212.63|217.48|219.01|223.36|224.11|223.92|226.39|
||2014|232.06|237.37|239.47|238.17|236.97|238.16|239.85|239.7|239.97|239.53|235.25|231.07|
||2015|229.77|233.84|235.96|236.94|241.11|241.08|242.06|241.13|245.78|249.21|247.27|245.87|
||2016|246.71|248.61|250.57|252.13|254.9|256.62|256.9|257.38|264.32|269.61|270.94|276.27|
||2017|285.22|293.25|294.89|297.37|295.21|292.73|296.04|302.11|306.87|314.89|321.23|326.65|
||2018|330.9|331.92|334.43|346.28|354.31|363.74|367.71|384.08|419.21|415.66|388.79|378.82|
||2019|379.59|382.29|385.14|389.74|398.25|400.11|417.97|409.88|416.46|421.32|422.69|425.08|
||2020|428.76|427.15|419.0|411.33|424.9|443.98|454.8|461.9|470.38|479.98|501.61|514.86|
||2021|520.65|523.15|523.13|531.9|545.51|560.71|566.77|562.42|565.44|579.17|615.69|791.13|
||2022|879.32|919.45|1041.68|1094.98|1132.57|1252.47|1241.84|1219.74|1230.73|1257.64|1274.65|1221.87|
||2023|1298.68|1332.38|1340.79|1374.88|1400.79|1512.3|1780.8|2076.51|2166.85|2162.97|2167.41|2164.4|
||2024|2305.71|2371.38|2412.34|2480.11|2508.8|2505.46|2601.15|2677.78|2743.25|2728.32|2736.21|2724.64|
||2025|2839.19|2925.79|2933.18|3044.61|3125.64|3199.95|3292.32|3343.43|3437.3|3474.04|3535.97||
|071. (Purchase Of Vehicles)|2005|100.51|101.26|100.9|102.86|104.1|103.83|102.68|102.62|102.4|102.54|102.82|102.18|
||2006|104.52|105.12|104.91|105.66|107.21|112.46|115.97|116.46|115.18|117.05|116.6|112.62|
||2007|114.46|116.23|116.21|116.41|114.42|113.09|112.97|112.96|113.87|111.51|110.63|108.89|
||2008|110.35|110.77|110.02|111.81|112.4|112.72|109.28|108.93|108.66|108.04|107.53|106.19|
||2009|109.32|111.74|104.82|99.75|100.9|104.82|107.37|107.99|108.13|113.7|115.19|113.19|
||2010|115.11|115.06|115.63|115.92|116.2|115.53|115.86|115.5|114.82|115.23|114.34|112.91|
||2011|114.6|118.84|119.99|121.66|121.96|122.75|122.77|125.79|129.67|130.95|130.49|130.35|
||2012|132.71|132.4|131.8|132.34|132.32|132.39|132.32|132.23|131.31|131.36|130.25|129.92|
||2013|130.62|133.56|133.85|134.0|134.7|134.85|138.11|139.2|142.3|144.18|143.45|143.25|
||2014|151.68|161.1|166.94|167.83|166.66|164.96|164.87|164.79|164.83|164.74|163.84|162.89|
||2015|166.79|170.74|171.23|171.46|173.65|174.15|176.27|176.9|183.8|187.45|186.92|185.87|
||2016|188.76|194.28|194.79|194.82|195.09|197.42|197.36|199.71|200.23|202.96|206.1|209.43|
||2017|213.34|223.43|232.01|236.01|235.32|231.73|234.39|239.66|241.58|250.09|256.56|265.56|
||2018|268.55|273.28|277.24|289.99|296.08|307.72|312.05|330.34|375.35|364.56|316.8|313.82|
||2019|311.52|311.41|307.04|310.25|321.85|325.18|358.13|348.48|345.8|348.34|348.83|352.18|
||2020|354.12|353.58|359.25|371.05|380.98|395.43|404.73|410.3|426.84|439.53|481.33|499.86|
||2021|500.92|503.36|505.77|523.13|530.18|537.71|539.91|525.08|526.75|527.76|556.01|785.99|
||2022|796.83|797.25|856.34|891.52|912.88|943.61|984.48|1009.22|1013.81|1027.64|1050.44|1033.59|
||2023|1071.56|1113.87|1128.48|1175.67|1248.13|1374.11|1593.81|1733.03|1738.81|1732.51|1745.49|1768.2|
||2024|1818.15|1832.17|1878.2|1903.23|1961.85|1943.18|1959.28|2000.42|2049.95|2019.22|2024.89|2025.5|
||2025|2057.27|2090.96|2121.42|2217.96|2318.94|2340.62|2385.22|2406.73|2461.3|2483.66|2511.79||
|072. (Operation Of Personal Transport Equipment)|2005|125.0|125.61|127.64|132.69|130.96|132.74|134.65|136.64|140.9|141.55|137.63|137.37|
||2006|139.68|139.36|139.86|143.58|147.07|155.1|160.02|157.17|150.08|147.89|146.99|148.32|
||2007|145.67|146.48|151.46|154.21|156.94|156.45|155.37|154.49|154.93|154.73|166.34|166.55|
||2008|167.65|169.01|173.67|179.95|184.16|188.33|189.64|180.66|179.48|176.22|170.02|159.11|
||2009|159.58|162.87|164.29|164.1|165.71|170.97|168.86|175.7|176.06|177.09|181.16|181.86|
||2010|195.14|196.65|199.24|198.66|197.17|195.23|195.62|194.86|196.27|197.06|200.02|208.75|
||2011|212.14|213.68|219.71|222.12|224.47|223.41|226.74|231.72|234.02|233.87|230.53|231.75|
||2012|237.61|239.97|248.31|247.6|236.92|228.25|228.09|238.2|248.47|260.55|256.16|255.03|
||2013|255.57|259.47|257.51|251.29|249.06|258.49|266.83|268.81|274.24|270.85|272.48|282.75|
||2014|287.34|287.97|285.0|278.82|275.55|278.96|281.88|279.5|276.78|273.73|264.88|253.79|
||2015|243.92|249.45|255.39|257.33|264.36|262.4|261.3|256.74|258.81|260.93|257.41|254.74|
||2016|252.83|249.61|254.05|256.27|262.95|264.19|262.23|260.16|272.97|283.05|284.85|296.31|
||2017|311.14|318.09|311.4|309.34|303.75|300.03|302.11|311.07|317.26|326.0|337.33|339.64|
||2018|345.99|341.87|343.11|356.78|367.32|373.29|376.72|394.14|418.92|424.66|417.51|394.28|
||2019|398.01|406.83|421.34|427.63|432.46|426.48|426.13|414.84|422.36|430.51|434.9|436.45|
||2020|441.79|436.32|408.32|374.66|393.39|411.18|430.67|441.41|445.56|455.34|462.47|474.05|
||2021|482.72|485.39|481.71|481.37|496.57|520.3|532.62|539.5|538.81|572.72|628.18|768.81|
||2022|923.13|1001.07|1199.0|1246.34|1292.17|1528.2|1434.27|1352.76|1340.48|1380.1|1396.96|1290.59|
||2023|1383.78|1409.43|1404.25|1408.59|1370.85|1487.6|1851.66|2241.87|2313.97|2293.56|2285.33|2271.21|
||2024|2494.19|2653.2|2696.34|2777.73|2752.32|2710.57|2920.0|2935.24|2923.65|2978.49|2986.61|3005.09|
||2025|3184.0|3264.66|3228.66|3277.12|3308.14|3424.92|3609.92|3658.86|3708.67|3738.64|3843.03||
|073. (Transport Services)|2005|123.8|124.22|124.89|125.28|126.51|127.44|129.79|132.83|135.09|135.82|136.44|136.59|
||2006|137.71|138.22|138.32|138.68|139.22|140.2|143.37|146.76|148.98|150.45|150.76|154.19|
||2007|154.7|154.45|154.35|155.19|155.23|156.98|158.38|158.98|160.28|161.84|161.47|163.34|
||2008|166.9|167.56|170.03|172.95|176.05|180.19|182.92|185.05|188.03|189.56|189.98|190.92|
||2009|189.46|189.05|188.45|188.27|188.7|191.15|192.48|192.87|193.34|194.48|194.42|195.75|
||2010|198.68|199.93|200.53|200.94|202.03|203.17|205.54|206.18|206.89|207.73|209.44|209.53|
||2011|211.8|213.16|214.31|215.2|216.38|218.8|220.49|221.8|225.51|228.03|229.25|229.4|
||2012|233.4|233.95|234.27|236.4|239.1|238.47|242.4|242.81|246.12|248.24|248.13|248.11|
||2013|250.25|251.58|252.77|253.95|256.02|258.68|260.43|261.74|265.49|267.28|266.66|265.98|
||2014|266.04|268.25|269.29|270.7|272.7|276.51|279.75|282.72|287.71|290.44|286.65|286.62|
||2015|286.42|287.34|286.9|287.91|291.14|292.8|293.92|295.1|296.92|300.78|298.5|298.58|
||2016|299.77|302.59|302.97|306.09|306.85|307.85|312.27|313.2|321.63|323.16|320.03|318.39|
||2017|325.2|328.99|330.85|337.93|339.41|342.14|348.34|349.42|356.49|360.3|355.73|358.07|
||2018|360.13|361.69|362.3|364.98|370.59|378.55|381.55|386.36|407.01|404.3|398.47|399.96|
||2019|403.35|401.3|401.07|404.72|408.74|420.76|425.23|430.34|458.61|461.96|459.6|460.07|
||2020|463.54|467.19|467.88|468.11|476.73|503.64|499.08|501.09|498.14|498.43|498.11|499.89|
||2021|511.64|513.11|514.5|516.1|542.13|555.43|556.12|558.25|573.9|572.98|576.48|609.83|
||2022|712.76|753.62|825.01|918.68|965.86|1009.96|1060.61|1062.3|1136.18|1158.57|1156.77|1150.72|
||2023|1268.46|1283.22|1296.24|1336.17|1345.79|1376.04|1514.09|1932.31|2226.61|2257.17|2260.34|2214.5|
||2024|2468.73|2524.28|2519.98|2682.32|2679.5|2800.76|2936.21|3206.23|3427.09|3357.13|3368.3|3266.5|
||2025|3524.21|3781.65|3770.86|3987.63|4027.02|4188.46|4242.24|4384.98|4660.45|4744.59|4824.68||
|08. (Communications)|2005|103.99|104.17|104.43|104.19|105.05|104.44|104.27|104.57|105.13|106.36|106.14|105.88|
||2006|107.99|107.64|106.82|106.68|107.31|108.33|108.53|107.91|107.8|107.61|107.45|107.3|
||2007|109.14|109.04|108.5|107.89|107.63|109.15|107.61|104.47|103.95|103.93|103.87|105.39|
||2008|106.46|106.59|107.05|107.09|107.05|107.76|108.74|109.23|110.73|110.69|110.88|111.44|
||2009|112.33|111.0|110.38|110.69|110.88|112.18|112.37|112.59|112.72|114.08|114.11|115.17|
||2010|114.89|115.02|118.63|112.9|111.39|112.17|112.05|110.97|108.92|108.23|108.58|111.46|
||2011|112.81|113.3|113.68|111.59|111.07|111.86|112.07|111.97|112.17|112.81|113.82|114.22|
||2012|114.21|113.99|113.62|113.58|113.35|115.53|116.21|116.05|117.84|119.37|119.49|120.96|
||2013|120.93|121.15|121.17|121.36|121.84|121.92|123.07|122.98|123.08|123.08|122.57|122.41|
||2014|121.68|121.91|122.24|122.4|122.26|122.36|124.69|124.86|124.8|124.68|124.52|124.38|
||2015|125.55|126.73|126.69|126.34|126.14|126.19|126.18|127.4|128.32|128.64|129.09|128.81|
||2016|128.87|128.33|128.2|128.57|129.75|130.06|131.85|131.99|132.32|132.24|133.08|132.9|
||2017|133.05|133.92|133.93|133.9|134.58|134.05|134.22|134.33|134.68|134.67|135.0|134.77|
||2018|133.44|133.74|133.87|133.82|134.28|140.67|140.51|144.2|145.8|148.79|147.9|147.74|
||2019|148.84|148.34|147.91|147.47|147.56|148.12|149.35|149.35|149.25|151.38|151.97|152.41|
||2020|152.03|151.7|151.63|149.76|151.96|155.29|158.03|158.87|159.31|159.67|159.86|161.14|
||2021|161.64|162.55|163.78|163.32|164.23|164.81|165.0|166.48|167.26|168.11|169.08|175.25|
||2022|179.03|181.88|188.48|193.88|196.77|203.94|207.56|211.52|218.71|224.39|229.73|232.35|
||2023|246.83|248.16|249.61|264.41|268.96|279.47|296.86|309.57|320.61|329.18|340.46|350.9|
||2024|361.37|376.94|398.23|410.9|415.03|425.56|439.23|441.96|438.07|453.51|462.05|470.47|
||2025|480.56|492.02|493.84|498.46|494.92|504.0|525.4|533.05|539.72|541.26|544.21||
|081. (Postal Services)|2005|125.49|125.49|125.49|125.49|125.49|119.55|119.55|119.55|119.55|119.55|119.55|119.55|
||2006|123.31|123.31|123.31|123.31|123.31|123.31|123.31|123.31|123.31|123.31|123.31|123.31|
||2007|125.44|127.56|127.56|127.56|127.56|127.56|127.56|127.56|127.56|127.56|127.56|127.56|
||2008|127.56|127.56|127.56|127.56|127.56|143.39|143.39|143.39|143.39|143.39|143.39|143.39|
||2009|143.39|143.39|143.39|143.39|143.39|143.39|159.68|159.68|159.68|159.68|159.68|159.68|
||2010|159.68|159.68|207.65|207.65|207.65|207.65|218.24|218.24|218.24|218.24|218.24|218.24|
||2011|218.24|193.22|193.22|218.24|218.24|218.24|218.24|218.24|218.24|218.24|262.27|262.27|
||2012|262.27|262.27|262.27|262.27|248.81|248.81|262.27|262.27|262.27|262.27|262.27|262.27|
||2013|296.32|296.32|296.32|296.32|296.32|296.32|296.32|296.32|296.32|266.75|296.32|281.14|
||2014|296.33|281.14|296.33|296.33|303.75|303.75|320.18|320.18|320.18|320.18|320.18|320.18|
||2015|320.18|320.18|320.18|320.18|320.18|288.16|320.18|355.48|355.48|319.93|355.48|355.48|
||2016|355.48|355.48|355.48|355.48|355.48|411.61|411.61|411.61|411.61|411.61|411.61|411.61|
||2017|411.61|411.61|411.61|411.61|411.61|308.71|576.25|576.25|576.25|576.25|576.25|576.25|
||2018|748.38|748.38|748.38|748.38|748.38|748.38|748.38|561.28|561.28|561.28|561.28|523.86|
||2019|561.28|523.86|561.28|561.28|561.28|561.28|561.28|748.37|748.37|748.37|748.37|748.37|
||2020|748.37|648.11|748.37|748.37|561.28|648.11|648.11|648.11|748.37|748.37|748.37|700.04|
||2021|748.37|648.11|748.37|748.37|748.37|748.37|748.37|748.37|748.37|1010.3|1010.3|1010.3|
||2022|1010.3|1197.39|1197.39|1197.39|1197.39|1197.39|1197.39|1609.0|1609.0|1609.0|1609.0|1609.0|
||2023|1892.69|2226.41|2226.41|2226.41|2226.41|2226.41|2226.41|3348.97|3348.97|3348.97|3348.97|3348.97|
||2024|3877.85|4490.24|4490.24|4490.24|4490.24|6548.27|6548.27|6548.27|6548.27|6548.27|6548.27|6548.27|
||2025|6548.27|6548.27|6548.27|6548.27|7483.74|7483.74|7483.74|7483.74|7483.74|7483.74|7483.74||
|082. (Telephone And Telefax Equipment)|2005|87.78|89.47|91.92|89.61|92.61|86.51|84.74|86.41|91.02|91.5|90.2|88.28|
||2006|88.48|85.54|79.94|78.88|83.08|89.98|90.15|85.97|85.64|83.91|82.73|81.64|
||2007|80.12|74.99|70.94|67.65|65.96|62.7|61.88|60.86|56.92|51.81|50.9|50.31|
||2008|49.56|48.42|49.89|49.47|48.69|47.15|47.34|45.8|44.78|44.56|44.73|43.89|
||2009|44.01|43.79|44.63|45.1|44.77|44.95|45.88|46.96|47.65|47.34|46.93|46.72|
||2010|45.56|46.1|45.85|45.99|46.71|46.35|45.79|45.99|44.98|44.13|45.56|46.47|
||2011|46.61|46.79|47.54|47.23|47.1|47.32|46.65|46.2|47.08|49.93|54.28|54.1|
||2012|54.04|53.02|51.04|50.65|49.61|50.04|51.62|50.47|52.08|51.47|50.42|51.71|
||2013|50.97|50.82|50.81|50.21|49.32|48.17|48.19|47.84|47.07|46.7|44.53|43.92|
||2014|42.91|43.31|43.88|44.38|43.85|44.22|43.71|43.36|43.13|42.14|41.55|41.04|
||2015|40.43|40.41|40.62|40.01|39.49|39.64|39.36|40.15|40.76|40.49|40.92|40.18|
||2016|40.32|39.14|38.86|39.32|39.22|38.42|38.63|38.93|39.21|39.02|39.19|38.78|
||2017|39.03|39.8|39.83|39.9|39.44|38.52|38.74|39.16|38.58|38.57|38.89|38.52|
||2018|38.6|38.4|38.34|38.28|37.73|38.25|39.51|40.9|43.13|43.24|41.94|41.72|
||2019|41.41|40.46|39.71|39.14|38.88|38.84|39.67|39.34|39.34|38.39|37.75|37.63|
||2020|37.33|36.73|36.54|35.32|37.12|39.57|40.96|41.3|41.01|40.94|40.99|40.91|
||2021|41.27|40.85|40.45|40.65|40.32|40.51|40.54|40.66|40.93|41.23|41.48|47.53|
||2022|48.25|49.49|53.15|54.67|55.11|57.78|58.73|60.22|62.79|64.33|64.98|66.0|
||2023|67.73|67.23|67.0|68.08|67.38|71.75|80.13|82.16|81.95|81.58|81.02|83.56|
||2024|87.05|87.56|90.79|91.31|89.76|88.72|86.9|87.46|84.02|91.46|93.18|95.74|
||2025|96.38|95.95|95.9|98.04|96.06|98.62|99.57|100.55|102.9|102.2|100.35||
|083. (Telephone And Telefax Services)|2005|105.59|105.59|105.59|105.6|106.2|106.25|106.26|106.4|106.48|107.8|107.71|107.64|
||2006|110.05|110.15|110.16|110.17|110.19|110.19|110.39|110.39|110.31|110.39|110.41|110.42|
||2007|112.82|113.62|113.69|113.56|113.56|115.9|114.25|110.77|110.86|111.74|111.83|113.7|
||2008|115.09|115.45|115.71|115.84|115.93|117.04|118.14|119.01|120.94|120.94|121.13|121.94|
||2009|122.97|121.44|120.51|120.77|121.07|122.56|122.56|122.56|122.56|124.25|124.38|125.69|
||2010|125.69|125.69|130.1|123.12|121.09|122.14|122.14|120.78|118.58|118.0|118.0|121.23|
||2011|122.81|123.38|123.64|121.19|120.59|121.49|121.92|121.92|121.92|121.92|121.92|122.45|
||2012|122.45|122.45|122.52|122.58|122.58|125.07|125.47|125.57|127.3|129.29|129.7|131.13|
||2013|131.29|131.6|131.63|132.03|132.89|133.32|134.7|134.7|135.05|135.18|135.18|135.18|
||2014|134.62|134.77|134.98|135.01|135.01|135.01|138.03|138.36|138.36|138.55|138.55|138.55|
||2015|140.33|141.85|141.69|141.54|141.54|141.54|141.65|142.81|143.69|144.24|144.59|144.59|
||2016|144.59|144.59|144.59|144.79|146.41|147.28|149.5|149.5|149.77|149.77|150.78|150.78|
||2017|150.78|151.31|151.31|151.21|152.54|152.61|152.61|152.4|153.38|153.38|153.56|153.56|
||2018|151.55|152.18|152.42|152.42|153.65|162.27|160.75|164.64|164.64|168.81|168.88|168.88|
||2019|170.86|171.25|171.48|171.49|171.94|172.8|173.65|174.01|173.86|178.12|179.74|180.54|
||2020|180.39|180.72|180.86|179.71|180.58|182.26|184.52|185.33|186.4|187.03|187.26|189.34|
||2021|189.57|191.64|194.17|193.14|195.07|195.67|195.92|198.06|198.86|199.71|200.84|201.27|
||2022|206.12|208.61|213.1|219.2|223.09|230.15|234.35|238.16|245.4|251.93|259.39|261.89|
||2023|283.18|286.48|289.46|312.7|322.02|330.98|343.37|360.86|380.34|395.89|416.52|429.2|
||2024|439.3|466.81|497.79|519.97|531.78|553.91|584.18|587.75|589.71|598.56|609.85|618.66|
||2025|636.14|659.42|663.06|665.58|664.57|674.42|712.7|724.49|730.31|735.36|746.49||
|09. (Recreation And Culture)|2005|113.37|113.07|111.89|111.0|115.51|120.14|121.39|123.04|119.68|118.96|118.05|118.62|
||2006|117.78|115.84|114.88|117.6|120.78|123.82|125.35|126.55|127.39|129.29|126.89|128.41|
||2007|128.43|127.46|126.98|127.87|125.59|127.24|127.55|128.28|127.37|127.7|127.34|126.79|
||2008|125.46|125.46|127.09|126.92|128.93|129.83|130.39|130.7|130.72|132.44|134.84|135.64|
||2009|138.13|137.89|137.66|139.17|138.78|140.13|143.72|144.12|147.5|148.75|148.31|147.74|
||2010|147.34|146.5|147.51|146.8|146.12|145.98|145.4|145.55|146.8|145.12|143.95|144.31|
||2011|144.2|143.62|144.28|144.4|145.83|147.56|148.94|150.17|150.82|152.45|152.47|153.68|
||2012|154.95|154.42|154.81|155.77|156.29|157.7|156.72|157.68|157.82|157.5|157.0|156.73|
||2013|157.1|156.11|156.62|157.73|158.45|160.75|161.18|161.89|162.46|163.47|164.53|164.85|
||2014|166.92|167.97|169.11|169.26|169.61|170.28|175.34|176.38|176.5|176.55|174.22|174.21|
||2015|177.07|178.1|180.28|182.39|184.36|189.23|188.88|192.59|194.82|195.73|194.67|194.34|
||2016|198.4|198.14|197.58|199.09|200.9|200.52|202.69|203.43|202.55|200.46|202.97|205.86|
||2017|210.77|212.65|215.95|217.45|222.71|222.4|225.43|226.19|226.55|222.59|223.06|223.11|
||2018|225.92|230.18|231.36|235.23|238.15|243.29|247.22|253.68|270.47|276.06|270.31|269.64|
||2019|278.22|277.2|277.82|280.7|285.93|285.82|290.4|291.92|290.38|288.68|288.92|288.59|
||2020|293.97|293.85|296.48|294.49|296.62|303.89|307.94|311.23|313.97|313.69|318.5|318.72|
||2021|322.63|319.48|325.91|330.79|326.42|340.98|345.42|349.33|353.05|354.85|362.97|399.87|
||2022|434.95|446.78|459.21|473.95|503.09|513.25|536.34|554.23|566.04|573.24|585.15|599.62|
||2023|651.77|657.84|676.66|693.78|718.88|734.15|779.22|840.61|879.82|899.73|918.23|966.93|
||2024|1054.67|1088.33|1128.98|1158.56|1178.88|1181.99|1206.4|1237.44|1266.56|1274.41|1311.1|1330.19|
||2025|1403.22|1406.77|1437.88|1457.55|1485.88|1507.35|1538.36|1561.12|1581.3|1597.14|1650.27||
|091. (Audio-Visual, Photographic And Information Processing Equipment)|2005|91.1|90.67|92.64|91.35|97.32|105.32|102.08|101.76|99.43|97.77|97.57|97.78|
||2006|94.88|93.54|91.98|90.07|94.41|95.03|95.98|95.15|94.12|93.32|91.1|90.54|
||2007|90.65|89.23|87.66|87.2|83.46|83.1|81.55|81.02|80.2|79.64|78.76|77.68|
||2008|76.92|76.92|78.11|78.15|78.35|78.15|77.66|77.26|77.2|80.82|82.93|82.76|
||2009|85.18|84.42|84.52|81.62|80.05|80.4|80.38|78.86|78.49|79.1|79.85|79.69|
||2010|78.36|78.07|78.88|77.26|76.69|76.18|74.67|74.14|73.41|72.39|72.28|72.61|
||2011|71.92|70.89|70.44|69.33|68.64|68.48|68.58|69.46|69.23|70.25|70.23|69.97|
||2012|69.02|68.22|68.51|68.68|67.38|67.27|65.51|65.7|65.52|64.49|63.84|63.76|
||2013|62.95|62.61|62.62|61.63|61.26|60.91|61.1|60.54|61.51|61.86|62.68|63.49|
||2014|63.47|64.62|65.1|64.02|62.94|61.03|61.73|60.96|60.6|60.62|60.55|60.54|
||2015|62.37|61.91|62.79|62.93|63.74|62.73|61.68|62.95|63.65|64.71|65.01|64.8|
||2016|66.49|66.85|66.42|66.1|65.47|65.02|65.66|65.36|64.96|64.47|65.12|66.17|
||2017|69.61|72.11|71.9|71.78|71.52|71.41|71.97|71.56|72.04|71.77|72.87|72.77|
||2018|72.79|73.14|72.97|72.91|73.67|75.97|76.39|79.64|92.32|94.45|88.51|89.05|
||2019|89.53|88.52|87.27|87.78|88.67|87.13|87.48|87.04|86.47|85.25|83.83|83.86|
||2020|83.92|83.4|84.57|84.88|86.09|87.74|88.19|88.8|90.93|93.21|96.87|97.73|
||2021|98.29|97.5|97.86|101.13|100.37|103.72|104.55|104.73|105.43|108.39|109.52|129.59|
||2022|144.8|145.78|145.47|144.43|145.01|144.94|149.18|152.18|152.44|156.84|156.97|160.16|
||2023|167.41|167.2|167.0|169.74|172.85|178.5|192.13|203.11|207.51|213.31|214.57|226.74|
||2024|244.69|246.66|253.38|256.38|248.69|236.81|243.07|242.24|244.43|250.48|258.53|264.33|
||2025|271.2|273.09|271.5|273.67|274.45|277.3|279.03|278.23|283.36|285.64|293.18||
|092. (Other Major Durables For Recreation And Culture)|2005|115.83|115.36|113.24|113.05|114.63|114.51|114.31|115.26|116.89|117.94|117.67|118.38|
||2006|118.13|117.85|118.08|117.85|117.56|118.49|118.98|120.79|123.21|123.76|124.14|124.32|
||2007|124.65|124.0|124.42|124.5|124.62|124.83|124.92|124.94|125.04|125.75|125.73|125.36|
||2008|125.57|125.74|125.57|126.3|127.55|127.98|128.1|128.82|131.16|131.59|133.22|134.44|
||2009|135.86|137.64|138.7|138.91|139.24|139.28|139.38|139.48|141.17|141.97|141.65|142.64|
||2010|142.62|142.78|142.76|143.46|143.73|143.8|143.87|143.72|143.93|144.7|144.89|144.87|
||2011|144.89|145.13|145.36|147.75|149.17|150.12|150.02|150.63|152.49|155.02|156.13|157.54|
||2012|158.6|160.7|162.66|164.29|166.39|167.16|167.56|169.12|174.72|178.88|180.63|181.56|
||2013|182.88|183.65|184.64|185.24|185.0|184.47|184.25|184.42|187.4|188.01|188.25|189.18|
||2014|189.94|193.1|196.94|198.15|197.73|198.4|198.84|199.69|203.99|207.6|210.0|211.71|
||2015|212.42|214.62|215.78|217.46|218.24|218.76|220.73|222.16|225.75|230.03|231.18|232.12|
||2016|233.21|235.43|237.13|238.87|240.09|240.67|241.21|241.61|246.42|251.65|254.13|257.23|
||2017|260.71|270.98|284.33|293.38|295.83|298.64|300.43|304.19|310.2|316.7|318.68|320.0|
||2018|321.54|323.75|328.25|330.54|333.1|336.58|340.16|350.09|407.08|434.62|442.87|445.27|
||2019|454.62|458.92|466.61|471.61|476.2|477.6|479.04|489.99|506.82|514.12|519.85|522.13|
||2020|522.53|518.79|518.33|513.88|514.52|516.22|523.55|526.87|532.66|535.7|544.98|555.38|
